Site,Location,Depth,Parent,Acid,Alkali,Total,BD,organicp_vol
EVR,1,0 -5 cm,Volcaniclastic,0.217,0.097,0.314,0.559555873,0.175700544
EVR,1,7-12 cm,Volcaniclastic,0.109,0.081,0.19,NA,NA
EVR,1,15-20 cm,Volcaniclastic,0.033,0.058,0.091,0.570305213,0.051897774
EVR,1,25-30 cm,Volcaniclastic,0.105,0.088,0.193,1.09329121,0.211005204
EVR,1,45-50 cm,Volcaniclastic,0.024,0.089,0.113,0.93800844,0.105994954
EVR,1,80-90 cm,Volcaniclastic,0.098,0.155,0.253,1.128452756,0.285498547
EVR,2,0 -5 cm,Volcaniclastic,0.315,0.102,0.418,0.495569108,0.207147887
EVR,2,7-12 cm,Volcaniclastic,0.148,0.11,0.258,0.730605922,0.188496328
EVR,2,15-20 cm,Volcaniclastic,0.087,0.107,0.193,0.939322134,0.181289172
EVR,2,25-30 cm,Volcaniclastic,0.075,0.088,0.163,1.004665578,0.163760489
EVR,2,45-50 cm,Volcaniclastic,0.039,0.106,0.145,0.983665968,0.142631565
EVR,2,80-90 cm,Volcaniclastic,0.135,0.146,0.281,1.101926932,0.309641468
EVR,3,0 -5 cm,Volcaniclastic,0.212,0.101,0.314,0.587198612,0.184380364
EVR,3,7-12 cm,Volcaniclastic,0.117,NA,NA,0.795977983,NA
EVR,3,15-20 cm,Volcaniclastic,0.063,0.087,0.151,0.929371677,0.140335123
EVR,3,25-30 cm,Volcaniclastic,0.064,0.085,0.149,0.98028487,0.146062446
EVR,3,45-50 cm,Volcaniclastic,0.053,0.119,0.172,1.04229057,0.179273978
EVR,3,80-90 cm,Volcaniclastic,NA,NA,NA,1.011297034,NA
EVV,1,0 -5 cm,Volcaniclastic,0.293,0.144,0.437,0.546232077,0.238703418
EVV,1,7-12 cm,Volcaniclastic,0.196,0.115,0.312,0.822300539,0.256557768
EVV,1,15-20 cm,Volcaniclastic,0.191,0.133,0.324,0.877139388,0.284193162
EVV,1,25-30 cm,Volcaniclastic,0.123,0.107,0.229,0.86429976,0.197924645
EVV,1,45-50 cm,Volcaniclastic,0.096,0.153,0.249,0.773669862,0.192643796
EVV,1,80-90 cm,Volcaniclastic,0.128,0.229,0.358,0.939456261,0.336325342
EVV,2,0 -5 cm,Volcaniclastic,0.185,0.117,0.302,0.514538665,0.155390677
EVV,2,7-12 cm,Volcaniclastic,0.139,0.14,0.279,0.628883074,0.175458378
EVV,2,15-20 cm,Volcaniclastic,0.064,0.109,0.173,0.778951764,0.134758655
EVV,2,25-30 cm,Volcaniclastic,0.022,0.134,0.156,0.804616657,0.125520198
EVV,2,45-50 cm,Volcaniclastic,0.07,0.103,0.173,0.959350629,0.165967659
EVV,2,80-90 cm,Volcaniclastic,0.066,0.09,0.156,0.988086938,0.154141562
