  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = pase.rank ~ Site + Depth + Site:Depth, data = soilpase)

$Site
                  diff       lwr         upr     p adj
EVV-EVR     -12.888889 -22.23941  -3.5383641 0.0033148
ICA-R-EVR   -14.833333 -24.18386  -5.4828086 0.0006034
ICA-V-EVR   -25.166667 -34.51719 -15.8161419 0.0000000
ICA-R-EVV    -1.944444 -11.29497   7.4060803 0.9451678
ICA-V-EVV   -12.277778 -21.62830  -2.9272530 0.0055131
ICA-V-ICA-R -10.333333 -19.68386  -0.9828086 0.0250200

$Depth
                      diff        lwr          upr     p adj
15-20cm-0-5cm   -12.000000 -24.770987   0.77098731 0.0767028
25-30cm-0-5cm   -24.750000 -37.520987 -11.97901269 0.0000086
45-50cm-0-5cm   -36.166667 -48.937654 -23.39567936 0.0000000
7-12cm-0-5cm     -6.916667 -19.687654   5.85432064 0.5978321
80-90cm-0-5cm   -39.166667 -51.937654 -26.39567936 0.0000000
25-30cm-15-20cm -12.750000 -25.520987   0.02098731 0.0506024
45-50cm-15-20cm -24.166667 -36.937654 -11.39567936 0.0000138
7-12cm-15-20cm    5.083333  -7.687654  17.85432064 0.8434871
80-90cm-15-20cm -27.166667 -39.937654 -14.39567936 0.0000012
45-50cm-25-30cm -11.416667 -24.187654   1.35432064 0.1042048
7-12cm-25-30cm   17.833333   5.062346  30.60432064 0.0018158
80-90cm-25-30cm -14.416667 -27.187654  -1.64567936 0.0185582
7-12cm-45-50cm   29.250000  16.479013  42.02098731 0.0000002
80-90cm-45-50cm  -3.000000 -15.770987   9.77098731 0.9813950
80-90cm-7-12cm  -32.250000 -45.020987 -19.47901269 0.0000000

$`Site:Depth`
                                     diff        lwr         upr     p adj
EVV:0-5cm-EVR:0-5cm         -7.000000e+00 -40.171690  26.1716896 0.9999999
ICA-R:0-5cm-EVR:0-5cm       -8.000000e+00 -41.171690  25.1716896 0.9999987
ICA-V:0-5cm-EVR:0-5cm       -3.166667e+01 -64.838356   1.5050229 0.0781713
EVR:15-20cm-EVR:0-5cm       -6.666667e+00 -39.838356  26.5050229 1.0000000
EVV:15-20cm-EVR:0-5cm       -2.266667e+01 -55.838356  10.5050229 0.5771624
ICA-R:15-20cm-EVR:0-5cm     -2.833333e+01 -61.505023   4.8383563 0.1904850
ICA-V:15-20cm-EVR:0-5cm     -3.700000e+01 -70.171690  -3.8283104 0.0145261
EVR:25-30cm-EVR:0-5cm       -1.433333e+01 -47.505023  18.8383563 0.9893251
EVV:25-30cm-EVR:0-5cm       -4.433333e+01 -77.505023 -11.1616437 0.0010269
ICA-R:25-30cm-EVR:0-5cm     -3.333333e+01 -66.505023  -0.1616437 0.0475881
ICA-V:25-30cm-EVR:0-5cm     -5.366667e+01 -86.838356 -20.4949771 0.0000264
EVR:45-50cm-EVR:0-5cm       -5.366667e+01 -86.838356 -20.4949771 0.0000264
EVV:45-50cm-EVR:0-5cm       -4.500000e+01 -78.171690 -11.8283104 0.0007969
ICA-R:45-50cm-EVR:0-5cm     -5.100000e+01 -84.171690 -17.8283104 0.0000766
ICA-V:45-50cm-EVR:0-5cm     -4.166667e+01 -74.838356  -8.4949771 0.0027812
EVR:7-12cm-EVR:0-5cm        -7.333333e+00 -40.505023  25.8383563 0.9999997
EVV:7-12cm-EVR:0-5cm        -1.366667e+01 -46.838356  19.5050229 0.9939784
ICA-R:7-12cm-EVR:0-5cm      -1.300000e+01 -46.171690  20.1716896 0.9968146
ICA-V:7-12cm-EVR:0-5cm      -4.033333e+01 -73.505023  -7.1616437 0.0045195
EVR:80-90cm-EVR:0-5cm       -2.766667e+01 -60.838356   5.5050229 0.2233765
EVV:80-90cm-EVR:0-5cm       -5.433333e+01 -87.505023 -21.1616437 0.0000202
ICA-R:80-90cm-EVR:0-5cm     -6.500000e+01 -98.171690 -31.8283104 0.0000003
ICA-V:80-90cm-EVR:0-5cm     -5.633333e+01 -89.505023 -23.1616437 0.0000090
ICA-R:0-5cm-EVV:0-5cm       -1.000000e+00 -34.171690  32.1716896 1.0000000
ICA-V:0-5cm-EVV:0-5cm       -2.466667e+01 -57.838356   8.5050229 0.4174235
EVR:15-20cm-EVV:0-5cm        3.333333e-01 -32.838356  33.5050229 1.0000000
EVV:15-20cm-EVV:0-5cm       -1.566667e+01 -48.838356  17.5050229 0.9716410
ICA-R:15-20cm-EVV:0-5cm     -2.133333e+01 -54.505023  11.8383563 0.6848978
ICA-V:15-20cm-EVV:0-5cm     -3.000000e+01 -63.171690   3.1716896 0.1243056
EVR:25-30cm-EVV:0-5cm       -7.333333e+00 -40.505023  25.8383563 0.9999997
EVV:25-30cm-EVV:0-5cm       -3.733333e+01 -70.505023  -4.1616437 0.0129690
ICA-R:25-30cm-EVV:0-5cm     -2.633333e+01 -59.505023   6.8383563 0.3006769
ICA-V:25-30cm-EVV:0-5cm     -4.666667e+01 -79.838356 -13.4949771 0.0004199
EVR:45-50cm-EVV:0-5cm       -4.666667e+01 -79.838356 -13.4949771 0.0004199
