"","Site","SoilDepth","n","mean","sd","se"
"1","EVR","0-5cm",3,0.5,0.260576284415908,0.150443787951957
"2","EVR","14-19cm",3,0.236666666666667,0.0305505046330389,0.0176383420737639
"3","EVR","27-32cm",3,0.253333333333333,0.162890556304942,0.0940449065311059
"4","EVR","47-52cm",3,0.503333333333333,0.387599449604012,0.223780646566627
"5","EVR","7-12cm",3,0.56,0.355949434611154,0.205507501890645
"6","EVR","87-92cm",3,0.545,0.261629509039023,0.185
"7","EVV","0-5cm",3,0.315,0.0494974746830583,0.035
"8","EVV","14-19cm",3,0.236666666666667,0.0208166599946613,0.0120185042515466
"9","EVV","27-32cm",3,0.485,0.275771644662754,0.195
"10","EVV","47-52cm",3,0.393333333333333,0.231804515342849,0.133832399332565
"11","EVV","7-12cm",3,0.423333333333333,0.188767935130237,0.108985218161812
"12","EVV","87-92cm",3,0.546666666666667,0.112398102000582,0.0648930744464393
"13","ICA-R","0-5cm",3,0.0633333333333333,0.00577350269189626,0.00333333333333334
"14","ICA-R","14-19cm",3,0.153333333333333,0.0723417813807024,0.0417665469538056
"15","ICA-R","27-32cm",3,0.216666666666667,0.110151410945722,0.0635959467611297
"16","ICA-R","47-52cm",3,0.12,0.0529150262212918,0.0305505046330389
"17","ICA-R","7-12cm",3,0.103333333333333,0.0305505046330389,0.0176383420737639
"18","ICA-R","87-92cm",3,0.153333333333333,0.0305505046330389,0.0176383420737639
"19","ICA-V","0-5cm",3,0.45,0.647147587494537,0.373630833845388
"20","ICA-V","14-19cm",3,0.22,0.104403065089106,0.0602771377334171
"21","ICA-V","27-32cm",3,0.0666666666666667,0.0152752523165195,0.00881917103688197
"22","ICA-V","47-52cm",3,0.11,0.04,0.023094010767585
"23","ICA-V","7-12cm",3,0.266666666666667,0.0832666399786453,0.0480740170061865
"24","ICA-V","87-92cm",3,0.03,0.0435889894354067,0.0251661147842358
